FID,LSOA21CD,GlobalID,x,y
69,E01000489,91421090-bf6a-41e9-bf80-5d3e7a7c78c9,523180.1468,184253.778000001
70,E01017316,e45cc9a7-7487-4f00-b49d-68377afd7ba4,447831.1778,95242.7509000003
71,E01001046,32917295-1bce-4420-a112-14e285731125,533519.6887,165396.731000001
72,E01001840,a7391702-3f78-4501-8dcf-f67552283a14,535343.5422,184228.124199999
73,E01004008,2aa92053-619d-4ece-af95-03a0d7fb73ab,534319.1918,177004.1559
74,E01001163,f6d6912d-2ec0-44a5-8ff2-e2084d175a2b,531985.9972,170775.1033
75,E01024267,468b6225-5ada-4574-93bd-7da48494cb9c,571349.1191,172532.816
76,E01009477,a52cc2bf-8bc6-4827-a7e1-cba3d6496825,412065.7048,287168.246200001
77,E01001200,b1b3f881-4b22-4fcc-a0ab-e00f78489c19,520567.4156,180474.7149
78,E01024729,e37f7bee-8047-4753-9c18-5dd6b7ffe752,559609.6034,148004.2349
79,E01014978,30452d19-e5e5-423d-8dcd-8b43b0819752,362914.0746,180164.555500001
80,E01009041,57f7ba56-fcd6-428a-a2df-932d204e7f22,411006.3603,279831.788000001
81,E01030878,b1798bcb-3c36-46c7-8a70-4a1769a79706,491157.4119,143350.851399999
82,E01031816,375bc5a1-a15a-452a-b42e-7b8eb6ba6b6c,512746.5606,103079.240499999
83,E01002244,9fd6e663-11f7-4536-b781-c3a0fe746bcc,550365.3565,188813.99
84,E01000324,914b6ceb-69ed-441e-905c-b18d9465a94a,527229.8049,192138.7267
85,E01015027,ac286bc6-4836-4375-884b-5377fe5e8e00,248567.884,59967.8694000002
86,E01014841,0c24f14e-76d7-46ee-98a6-09a1c3a7670a,331212.433,162217.211100001
87,E01009161,4cc03c92-2b61-42ed-aaa3-10aa9b2abcc4,398255.442,278270.5594
88,E01031673,e7703a29-3151-4b56-a075-ed4393181862,519975.741,132340.821799999
89,E01016626,86e6e41a-efbc-445e-90fe-380007306249,480610.496,168604.8135
90,E01004649,41c12db8-7148-43f5-bda4-dca9ae8db694,526652.2312,183476.02
91,E01033728,29d163ef-68ac-45ac-a077-e4f00dbae8cf,537530.9002,177889.164000001
92,W01001459,963a18d4-f225-4273-80aa-26c01236af11,316343.1652,209304.708799999
93,E01021108,3d3dec0b-6748-496a-9cfe-50fbf819a45a,573279.8187,107922.82
94,E01023985,38929588-82d2-4978-9350-76cba0b2f214,595923.1274,149915.1163
95,E01014574,4d093218-f106-4a2f-8762-0faff3d0f647,361243.964,174942.758400001
96,E01030937,c92a59ed-1efc-478d-b89d-764eb73d9121,494502.2401,142407.127800001
97,E01004659,e55353e7-569c-4dab-a238-aa87d91d5bd5,527541.3633,182192.705399999
98,E01030430,47aa541c-2080-4350-aadd-38af7114d77d,489419.2169,152061.3499
99,E01019905,87842a3e-3045-4e20-860d-ff3aacc0ad0c,302056.6714,83437.3863999993
100,E01032627,d6c2d79a-48ae-402d-8419-4e967a8fb321,350579.4358,139287.7645
101,E01017307,4c369f90-28dd-4ccf-95db-9e7985b0a5b4,450702.9852,95633.0361000001
102,E01004379,af3d677e-05d5-49f3-8134-41cda5216aab,538448.5853,191978.3641
103,E01000435,08164b4a-47cc-45c2-8503-0e0cee34d3ec,551651.6738,176327.472100001
104,E01003052,0dda0b31-d621-4b16-8345-e8e5524ac66c,531489.0544,175238.1154
105,E01021173,958ea1a1-58ad-4cb1-8362-dd38eca63bbf,551786.4704,133610.543299999
106,E01002340,f7eff937-5779-43be-ab60-5c47a6bbd62d,550883.2094,189707.905999999
107,E01020130,1ab6a2d2-b90d-4dda-b966-6a459ad58fa7,256552.3667,132424.2311
108,E01001678,7cc89f85-3caf-478e-8356-8012e3474430,545272.8587,177181.6361
109,E01004727,a60f77ff-3c1f-4ea0-9980-865b0dc59131,527561.2834,182381.5977
110,E01024336,2fac7608-4e40-4173-a0e5-286b3a682009,578202.6725,156288.635399999
111,E01031367,d5fedae2-531a-49d6-9774-fa8f525481d7,521368.4683,105872.022700001
112,E01022732,5d7eea47-5358-4190-b224-a42b3c74f4f1,455302.4361,107178.175899999
113,E01003511,04661f1c-220e-4d3c-989d-38d013f18251,540261.2812,181491.320499999
114,E01003521,dcf9ba35-6e21-4379-95a0-b8fe956bf273,542591.8139,183804.436799999
115,E01023276,7b31a44a-fde2-4544-afb0-8edbad9d3e43,457710.1015,115893.198100001
116,E01030519,12681543-3f67-4045-9b62-c5de6da03f1f,512834.8159,154687.274700001
117,E01015396,ba7986ec-f4ff-436d-a99b-e2845891ed8b,401154.0422,95171.9542999994
118,E01003096,139085d3-1f2b-4708-aef5-bfd5483eb1a9,530552.5366,175867.266899999
119,E01031558,18498577-c8e8-4730-ad27-1e86e249bde1,526002.8859,134549.2118
120,E01031786,95f20caf-3bd9-49ab-b35b-b517437fc1e0,511058.3149,103422.067
121,E01016174,d7fb481d-0050-4475-8f26-95f775d14d04,577913.5805,167015.827
122,E01004145,ad375c20-fdf7-4d14-81b5-80889619db10,525418.287,165746.852600001
123,E01015191,a8e33a87-a01d-4b4d-9d7a-2727722383fb,287173.8766,61617.0481000002
124,E01002899,1380c393-3bb7-49bb-a5d7-90f98cb905d2,527374.4424,177962.4793
125,E01032121,f00920f0-258d-46a7-a2e0-d6748dfdc4e2,387785.6259,151562.8278
126,E01009484,92f196c7-9e2b-4ac7-8b2d-3c1163e8996e,410283.8959,288538.038000001
127,E01034189,04897797-b663-4753-858d-01dc29f80e2d,540174.141,179008.3913
128,E01024497,7a1d8510-e159-4c17-b8fb-83a699189450,623548.3179,137316.5154
129,E01030381,d927e0cd-7cbf-481d-ae1f-a351841dcb5e,521369.8205,160131.1317
130,E01000885,c9d95d41-bebf-4dd8-8513-4572fa5b0ad1,525969.6783,185912.7092
131,E01014684,91edaf2a-0d61-4bf6-94d5-3dcbf3e27540,362124.6754,173461.288799999
132,E01035237,c0815d80-fa98-4abd-9403-f8e76fec09f6,486362.3424,170868.666099999
133,W01001456,71e6c3f6-7e87-4cea-9256-97aa366cac43,316847.126,210016.086200001
134,E01024408,2351d5d6-173d-4954-883d-5d43326d551a,578274.4041,143618.1763
135,E01000927,c53f35c2-a2d0-452f-a704-b974bee459ff,528801.584,184709.877699999
136,E01016589,9655ae07-904a-4d23-a43c-aeb04b776be4,498922.8911,173918.630100001
137,E01015334,43f2c0d2-039c-4d72-8cc1-07e4b2ea6963,407653.9458,95677.8253000006
138,E01034387,d2d16070-d955-4510-8b81-a7b9e0a4d297,536267.6063,178769.409399999
139,E01018768,c8bde605-3cb8-4ad1-91bc-5610eccf6dd3,225985.6091,64600.3072999995
140,E01024270,8b7073e7-c3b0-462a-b3c6-f78ea6dbdd4e,564150.9343,167679.375
141,E01033328,6a5d99be-9541-4cc0-94ba-1844222a0e8d,531202.2777,104683.8903
142,E01008916,0d6e58ae-cd94-4dac-81b3-28efc68d06c2,408104.6208,290226.142999999
143,E01002623,63d371ff-ef1c-4c77-b480-343bd78482f0,512354.9177,176576.377699999
144,E01004147,e8c93f6d-1bf3-48f2-89bd-6b3215853ae5,526404.9767,165462.539999999
145,E01002306,a0670f81-3304-4844-974a-c676db4d70e4,550485.332,191945.1986
146,E01029200,d6764cb2-2c0e-41f2-972d-4c3fecebe88f,342274.0299,127080.033399999
147,E01004439,f4da4b26-aa79-4566-b892-bd113f730ee2,538895.3472,187335.773600001
148,E01022507,c32a8a9b-1e41-4797-8322-347995c5b0fa,464383.0027,151122.971899999
149,E01000480,ab466b8f-0034-4338-b000-5a296b16f594,519288.3887,186923.253699999
150,E01031926,d8b12997-e03d-4f62-a771-16450e67530b,390830.8725,173271.1587
151,E01000960,d9fa1f98-9f55-48ff-bf21-78f9b491316f,526292.9711,184521.933499999
152,E01030907,d63fb3d4-0927-4c06-8fa5-1820f899882d,482705.3974,143361.814200001
153,E01003187,0f67b561-3d7d-436f-8296-6b1537c045c7,531490.2943,176731.661599999
154,E01004415,2d291633-9819-4f61-aaf5-ae03948264b0,537961.1084,192997.1503
155,E01001091,fab48e8e-2b7e-472a-873c-bc646e67b52e,530636.4823,168719.285800001
156,E01024632,5e8974df-b671-46b7-a4d2-c7af04a718b3,589424.6518,163241.115900001
157,E01002119,7fd74dad-a47f-437c-8332-a57c8388f4a9,519291.9117,191242.353499999
158,E01020324,1313979a-7fcf-49c9-b2fa-36321acc8702,250264.383,79516.3231000006
159,E01017218,06a0002a-0c32-455d-969a-d1f28ecdfb78,444639.7047,112083.5414
160,E01009417,93986b8f-52cd-43b8-b5c1-2f60df76aa2e,410317.035,299432.4407
161,E01032781,b05f7cdb-0361-413e-a68e-d3d9be33e03a,537083.8188,179731.907199999
162,E01003104,2a1f91a9-4459-45b4-b9db-3fffc093e9dd,530516.9978,177386.146
163,E01001614,2562a57e-e4fd-4af0-b51b-619f727508ac,544720.6057,174799.187999999
164,E01004592,b6d80670-d80e-48a6-8ac7-ef01dbf83146,528073.9899,175925.6818
165,E01001832,b5312e6c-677e-4df7-a4b4-7d4d849136af,533785.2754,186117.9724
166,E01003920,4b3638ec-958a-468d-b8d8-18d02a9e354b,532393.8635,177151.1844
167,E01031824,6a17a65c-601a-469f-94b4-018c831edcf9,513779.2873,104624.2234
168,E01019004,80731779-ea16-4c4f-b0e0-2f629ad28134,146267.3119,28387.6550999992
169,E01030544,f3c90a68-2fae-403b-ab26-7c9238042541,517082.2912,145384.183
170,E01009521,bfd93470-d6b5-4ba9-ad55-98495b39e04e,413240.5419,285535.0286
171,E01009406,b9907954-130b-4569-8a0b-8126adb6eda2,409740.7557,292688.8179
172,E01001968,b7104a80-178f-43a3-91c9-3c6d5aedfe21,528748.6937,190190.676100001
173,E01024496,c6d830b0-8e6d-4f21-8ae8-00bd2bdf08fc,622845.5465,137750.6746
174,E01024731,b758ebf8-a5c3-41b1-8975-50985755e06f,559451.5969,149257.6131
175,E01020944,b7fe2b22-1615-448c-9cab-7469616fac91,559303.9352,99192.4537000004
176,E01020233,76060315-adcf-4580-aa44-953d0d7aa44d,295444.7234,75191.0598000009
177,E01001052,1c69a690-c6d3-4d7d-883b-2be26488a27e,538097.3419,163940.2786
178,E01014863,a982f10c-3a1d-4755-b37e-03c8c9fb29a1,362974.6571,188053.853599999
179,E01022769,cabbb428-c476-4022-8517-a8331dd2443f,459717.8734,105889.355599999
180,E01003724,d7bc244d-a601-4a26-83fa-26529ca58f78,545387.6452,192502.9355
181,E01032037,8d205ad4-c366-4a3c-9ec7-77187fa2d53f,381443.1786,132539.742000001
182,E01033214,fffc8f39-6e8e-488b-81a1-f9f4891b0bc6,621194.7471,139479.4714
183,E01022885,dfcde0b1-60c4-40ad-8deb-abdc6604c85e,473158.1609,154286.511299999
184,E01023270,27031886-6a9f-4e5f-bead-67160be76bca,447185.8325,129729.2699
185,E01015182,e244b6d5-f38b-4d09-964d-cd75bfe6d9ba,249268.0443,54163.8377
186,E01003067,cb259c40-5598-4ef3-9c6a-9d3cc3e189a0,532974.6093,171709.565099999
187,E01003780,6ca4b598-d2db-470c-9f70-f82232c4fd1f,539742.3364,190028.6198
188,E01035715,b6a3dab7-3c48-4272-80c1-0186a2e4e9b7,525901.598,182215.0276
189,E01001176,015d72d1-b7a6-45d0-a064-629d09a23d11,531066.9689,167538.4235
190,E01016569,b5f2ef76-af38-4c54-96e1-838f9433de13,494976.8289,178485.4651
191,E01020423,d98ab4b1-d026-45d5-92c8-133e1c6c04c4,408476.3096,102779.900599999
192,E01016955,f3fb504e-569d-4a2d-aafb-e117bb9724a8,530334.3234,104253.045499999
193,E01022797,adb168e4-d13d-4ce2-8562-b82be1394c3b,460577.3251,99311.0381000005
194,W01001585,df9d1950-64cd-42d4-a8fd-18c989951e27,352662.06,194131.6127
195,E01001999,94dadc28-5699-43c6-b4d2-5affc6aa605b,531669.1935,188773.970000001
196,E01004264,827e4b26-33ba-40c9-803e-cffa83ba0d7f,536118.3734,182106.985400001
197,E01000271,2316c4e2-3cd8-409d-b7df-66274038d6ea,526234.613,194868.8431
198,E01016103,0f4dad29-0466-4fdb-ba5f-ad5e64868151,582038.971,165391.4943
199,E01024669,8001ba79-a803-4559-9e55-38408b7cc768,638457.2983,165616.8489
200,E01004183,a36222cb-3935-477b-8f42-2e77e060756f,527141.2664,166774.765000001
201,E01024721,3674dc72-0453-49d7-b922-f8edb25dfc56,574681.4658,162351.7553
202,E01029037,226cf473-e9d6-42e7-8907-2b00dba48f25,377468.4821,147263.072000001
203,W01001563,b2cc735d-c637-40dc-9871-cb8ac5bca9c3,324901.1102,214901.6755
204,E01015114,5f0a536a-b2de-4e6f-806a-503d1683721f,253945.4271,55958.1706000008
205,E01017107,5d6f9926-4d7f-4a3d-82cc-b4f6142bb182,464911.9363,102594.497
206,E01004248,41475e63-78cb-4f86-b683-1dedbbe19163,538073.3979,181967.025
207,W01000476,47dbb984-30fa-4b3c-80a7-e29d4f0c413e,322349.7473,296782.829
208,E01021030,bc597155-61cb-495f-87fa-b1c4be309015,538775.1136,102058.953400001
209,E01015049,62109151-50f7-4f38-909b-7915ec83af21,248011.8233,55716.3764999993
210,E01002474,a65514cf-7165-4a75-adfb-f1d64f9568bb,509594.6295,190822.872
211,E01004276,6e27eb3d-3eb9-4d8d-b731-a3182a0dd866,537793.6142,178302.416999999
212,E01022987,670ebf48-3c97-4068-be9d-0c0ecc6c00dc,424663.4828,93618.7035000008
213,E01030952,a85ff412-cc1d-40d6-9c8f-6f99f18003ca,498871.0204,158986.361199999
214,E01003335,85175108-096b-44e6-a186-07a644c6dc8d,535930.9133,171641.990700001
215,E01020963,09ad71af-6ee8-4f8a-8b64-1d6885042b1a,560188.7346,100213.2521
216,E01031363,9e7a1b89-b56d-4b54-8fa8-4f3eb781da33,517134.9375,104302.912799999
217,E01016556,fd6c7b63-14fd-4f9b-aec9-d950b667f1e6,494508.8111,176069.4638
218,E01020285,103e4f68-008d-4344-80ac-4b0ae7bbe068,244401.4825,126080.6011
219,E01034146,6b18a754-e72c-4ac5-b7c2-e6a86a5f67b1,531228.635,165565.9858
220,E01003729,dcdd8893-943c-478b-95d2-45d22e09d748,543777.9146,185706.3444
221,E01031650,998d00c9-e2e2-4da9-99b3-beaba5cd5371,517778.2136,133354.046700001
222,E01000389,bcd3627a-af93-483d-a132-50a65049cd89,547877.6187,175300.3544
223,E01002388,aebc7d22-962f-4a86-8857-89dfb891698f,556120.8005,185684.821
224,E01016195,a73a1799-199d-4b2f-a7c3-59fb63660763,484421.2524,161833.3665
225,E01004699,53150247-72f3-497d-bd5c-e0c4109665d4,525722.372,181015.0078
226,E01033880,6434e69b-930e-40b1-a6d7-b6513ccfc568,533741.0658,178047.2686
227,E01000069,dfb2b88b-f389-48e0-9589-0fcdb8f1934f,545669.894,184768.1238
228,E01022680,7d729c67-a3e2-4eb9-8fb3-ef0d3ac9e04a,443349.5861,119377.4948
229,E01014458,a1d280cb-f444-4450-a62b-af84f429de7a,372217.4994,163864.0012
230,E01033710,23b931f2-ff12-4230-9d49-d89c3119a3d9,535365.0771,186816.5064
231,E01003437,e2702f93-5860-4cff-98ec-fa6b47f3f070,526730.2434,167693.977399999
232,E01031822,d4cc790b-da31-437e-97be-b97b1c930b49,513588.3687,105199.4518
